seri,model,titles,year,km,color,prices,date,"seri,model,titles,year,km,color,prices,date,location,""seri,model,titles,year,km,color,prices,date,location""",Il,Ilce,id,km_median,km / median
Panamera,Panamera Diesel,SECO MOTORS PANAMERA HATASIZ BOYASIZ YENİ KASA BAYİ,2014,2200,Beyaz,3750000,21/04/2023,,Antalya,Alanya,8,1420.0,1.5492957746478873
Panamera,Panamera Diesel,"2014 PANAMERA DIESEL ""59.000KM""BAYİ SOĞUTMA+VAKUM+20JANT HATASIZ",2014,59411,Siyah,5400000,21/04/2023,,İzmir,Konak,41,1420.0,41.8387323943662
911,Carrera,İLK SAHİBİNDEN DOĞUS ÇIKIŞLI KOLEKSİYONLUK 911 CARRERA,2007,291,Siyah,4200000,21/04/2023,,Ankara,Çankaya,7,1300.0,0.22384615384615383
718,Boxster,SS MOTORS 2016 PORSCHE 718 BOXSTER-SPOR EGZOZ-45.422 KM,2016,45422,Beyaz,3595000,21/04/2023,,İstanbul,Şişli,40,700.0,64.88857142857142
Panamera,Panamera 4,ACR MOTORS-2011 PANAMERA 4 BAYİ 120.000km BOSE AHSAP 20'' TURBO,2011,1200,Siyah,3150000,21/04/2023,,İstanbul,Ataşehir,40,1680.0,0.7142857142857143
718,Boxster,Boxster 718,2017,292,Beyaz,3550000,21/04/2023,,İstanbul,Kadıköy,40,850.0,0.34352941176470586
Taycan,Turbo,YENİKÖY MOTORS 2020 PORSCHE TAYCAN TURBO - PDCC -MASAJ-DISTRONIC,2020,0,Siyah,7450000,21/04/2023,,İstanbul,Sarıyer,40,260.0,0.0
Taycan,4S Performance Plus,YILMAZ PLAZA 2021 TAYCAN 4S P.PLUS HEAD.UP AİRMATİC YOLCU EKRANI,2020,300,Beyaz,6750000,21/04/2023,,Sakarya,Geyve,66,260.0,1.1538461538461537
Taycan,4S Performance Plus,BAYİ ÇIKIŞLI 4S PERFORMANCE PLUS,2021,125,Kırmızı,5250000,21/04/2023,,Bursa,Nilüfer,21,180.0,0.6944444444444444
Taycan,Taycan,YENİKÖY MOTORS 2021 PORSCHE TAYCAN - DISPLAY - BOSE - SOĞUTMA,2021,64,Siyah,5450000,21/04/2023,,İstanbul,Sarıyer,40,180.0,0.35555555555555557
Panamera,Panamera Diesel,ALKAN AŞ 2012 BAYİ PORSCHE PANAMERA DIESEL-ISITMA,2012,126976,Siyah,2750000,21/04/2023,,Ankara,Gölbaşı,7,1970.0,64.45482233502538
Panamera,Panamera Diesel,ALACA'DAN 2012 PORSCHE BOSE ISITMA SOĞUTMA NAVİ PUSULA 79.000KM,2012,790,Bordo,3851500,21/04/2023,,Rize,Merkez,65,1970.0,0.4010152284263959
Panamera,Panamera Diesel,Porche panamera diesel,2012,2300,Beyaz,2650000,21/04/2023,,Gaziantep,Şehitkamil,33,1970.0,1.16751269035533
911,Turbo S,TARGET MOTORS 2022 PORSCHE 911 TURBO S CABRİO AEROKİT/MANUFAKTUR,2022,6134,Gümüş Gri,25950000,21/04/2023,,İstanbul,Beşiktaş,40,1001.0,6.127872127872128
Panamera,Panamera Diesel,LİON MOTORS-2015 PANAMERA 3.0d EDİTİON-4'BLG-CHR­ONO-BOSE-V.BRŞLI,2015,1270,Beyaz,4179500,21/04/2023,,İstanbul,Kadıköy,40,1280.0,0.9921875
Panamera,Panamera 4S,TÜRKİYENİN EN DÜŞÜK KM HASAR KAYITSIZ,2012,290,Siyah,4200000,20/04/2023,,Amasya,Merkez,6,1970.0,0.14720812182741116
